,Weekly_Sales
742,1547654.98
743,1539930.5
744,1450766.12
745,1510925.32
746,1424225.44
747,1308537.75
748,1275591.84
749,1328468.89
750,1360317.9
751,1344580.92
752,1332716.53
753,1385323.7
754,1505442.15
755,1495536.46
756,1518841.45
757,2267452.4
758,1677067.24
759,1834737.58
760,2090268.95
761,2727575.18
762,1464050.02
763,1350441.68
764,1306194.55
765,1261253.18
766,1287034.7
767,1514999.17
769,1572117.54
770,1422600.43
771,1502617.99
773,1685375.47
774,1438465.81
775,1459276.77
776,1534594.0
777,1448797.02
778,1639358.93
779,1479249.9
780,1504651.57
781,1453185.65
782,1382783.83
783,1523979.11
784,1705506.29
786,1622150.33
787,1543365.9
788,1694551.15
789,1709373.62
790,1526801.24
791,1526506.08
792,1483991.05
793,1601584.57
795,1493544.04
796,1420405.41
797,1481618.74
798,1483574.38
799,1351407.79
802,1481739.2
806,1523420.38
810,1688531.34
811,1903385.14
858,496725.44
859,524104.92
860,506760.54
861,496083.24
862,491419.55
863,480452.1
864,574450.23
865,514731.6
866,561145.14
867,484263.25
868,406228.19
869,404751.25
870,373655.61
871,395453.83
872,372673.61
873,395195.65
874,442734.55
875,509183.22
876,498580.87
877,481144.09
878,553714.87
879,575570.77
880,593462.34
881,557166.35
882,570231.21
883,603547.16
884,643854.17
885,598185.4
886,582353.17
887,554309.24
888,532765.05
889,535769.32
890,489408.53
891,488008.83
892,448998.73
893,480239.88
894,463370.48
895,472450.81
896,465493.15
897,480512.44
898,507584.29
899,482528.36
900,835189.26
901,552811.62
902,599730.07
903,716388.81
904,1045124.88
905,729572.08
906,661163.94
907,547384.9
908,521539.46
909,513372.17
910,558027.77
912,572387.47
913,546690.84
914,551378.39
916,635014.69
917,559061.58
918,513409.67
919,500552.16
920,423380.14
921,466594.89
922,410429.73
923,407012.47
924,414094.05
925,424670.98
926,457216.87
927,542295.37
929,610991.35
930,640043.97
931,704344.21
932,761793.94
933,642748.21
934,688043.96
935,653382.62
936,695392.84
938,645156.21
939,629994.47
940,592355.24
941,613135.23
942,558981.45
945,525866.36
949,564536.01
953,591907.88
954,653845.45
1001,1004137.09
1002,994801.4
1003,963960.37
1004,847592.11
1005,881503.95
1006,860336.16
1007,839911.0
1008,772539.12
1009,914500.91
1010,916033.92
1011,882917.12
1012,850440.26
1013,778672.64
1014,916820.96
1015,873337.84
1016,818333.21
1017,868041.56
1018,958225.41
1019,914835.86
1020,869922.56
1021,814919.11
1022,852333.75
1023,845289.77
1024,848630.57
1025,785515.88
1026,787295.09
1027,893399.77
1028,867919.21
1029,870676.44
1030,888816.78
1031,899036.47
1032,831425.2
1033,836707.85
1034,773725.08
1035,804105.49
1036,870349.86
1037,826546.96
1038,836419.14
1039,830756.76
1040,927266.34
1041,911538.98
1042,885608.04
1043,1261693.16
1044,952766.93
1045,1069061.63
1046,1220579.55
1047,1511641.09
1048,773586.49
1049,873065.23
1050,809646.66
1051,822668.23
1052,782256.66
1053,944594.78
1055,1065108.64
1056,917317.15
1057,935266.43
1059,898289.14
1060,827968.36
1061,878762.3
1062,949825.83
1063,908278.74
1064,937473.13
1065,855014.77
1066,941457.34
1067,895763.41
1068,836049.89
1069,857939.41
1070,929222.16
1072,922048.41
1073,864881.24
1074,883683.35
1075,861965.12
1076,849925.37
1077,829902.42
1078,807082.19
1079,892393.77
1081,895066.5
1082,912542.82
1083,891387.14
1084,848358.09
1085,870971.82
1088,929976.55
1092,947815.05
1096,986601.46
1097,1051922.95
1144,549505.55
1145,552677.48
1146,511327.9
1147,473773.27
1148,507297.88
1149,494145.8
1150,485744.61
1151,484946.56
1152,545206.32
1153,529384.31
1154,485764.32
1155,488683.57
1156,491723.42
1157,526128.61
1158,492792.8
1159,506274.94
1160,558143.53
1161,586061.46
1162,522715.68
1163,513073.87
1164,509263.28
1165,528832.54
1166,485389.15
1167,474030.51
1168,462676.5
1169,468675.19
1170,522815.45
1171,481897.98
1172,499325.38
1173,506789.66
1174,511049.06
1175,484835.2
1176,463448.59
1177,452905.22
1178,495692.19
1179,505069.21
1180,454769.68
1181,466322.76
1182,508801.61
1183,517869.97
1184,520846.68
1185,519823.3
1186,768070.53
1187,578164.82
1188,618121.82
1189,685243.2
1190,873347.55
1191,459770.85
1192,490981.78
1193,458086.69
1194,454021.69
1195,463561.48
1196,544612.28
1198,610985.56
1199,513107.2
1200,542016.18
1202,515226.11
1203,497488.4
1204,520962.14
1205,561625.92
1206,528420.28
1207,549502.11
1208,532226.2
1209,545251.1
1210,539126.0
1211,518266.9
1212,553834.04
1213,587004.29
1215,558671.14
1216,538745.93
1217,537064.03
1218,535983.13
1219,512834.04
1220,491449.94
1221,471449.98
1222,554879.67
1224,540819.44
1225,542663.53
1226,544643.33
1227,528784.86
1228,500274.03
1231,553836.98
1235,597855.07
1239,613115.21
1240,630327.28
1287,2193048.75
1288,2176028.52
1289,2113432.58
1290,2006774.96
1291,1987090.09
1292,1941346.13
1293,1946875.06
1294,1893532.46
1295,2138651.97
1296,2041069.37
1297,1826241.44
1298,1829521.83
1299,1790694.59
1300,1921432.16
1301,1808056.41
1302,1847613.58
1303,1904618.17
1304,1931406.28
1305,1827521.71
1306,1837636.24
1307,1768172.31
1308,1845893.87
1309,1769793.37
1310,1828052.47
1311,1831676.03
1312,1832664.03
1313,1949236.09
1314,1962996.7
1315,1983190.56
1316,1727565.42
1317,1766331.45
1318,1720530.23
1319,1716755.78
1320,1655036.75
1321,1645892.97
1322,1772192.42
1323,1703850.25
1324,1740234.06
1325,1741308.56
1326,1832211.96
1327,1895901.59
1328,1949177.13
1329,2939946.38
1330,2251206.64
1331,2411790.21
1332,2811646.85
1333,3749057.69
1334,1707298.14
1335,1714309.9
1336,1710803.59
1337,1677556.18
1338,1715769.05
1339,1968045.91
1341,2106934.55
1342,1967996.71
1343,1958003.19
1345,1884734.31
1346,1815798.85
1347,1827733.18
1348,1870720.73
1349,1781767.22
1350,2004831.14
1351,1873646.34
1352,1841369.99
1353,1712995.44
1354,1720908.01
1355,1743000.38
1356,1792210.89
1358,1817934.76
1359,1711813.13
1360,1751369.75
1361,1699708.38
1362,1775068.4
1363,1774342.61
1364,1745841.33
1365,1886299.98
1367,1954849.68
1368,1728399.07
1369,1758587.35
1370,1670579.82
1371,1650894.3
1374,1788227.6
1378,1904438.59
1382,2068097.18
1383,2429310.9
1430,1528008.64
1431,1574684.08
1432,1503298.7
1433,1336404.65
1434,1426622.65
1435,1331883.16
1436,1364207.0
1437,1245624.27
1438,1446210.26
1439,1470308.32
1440,1323243.35
1441,1283766.55
1442,1239766.89
1443,1312329.78
1444,1266796.13
1445,1271646.62
1446,1264272.52
1447,1396322.19
1448,1339570.85
1449,1336522.92
1450,1262025.08
1451,1302600.14
1452,1280156.47
1453,1290609.54
1454,1244390.03
1455,1250178.89
1456,1369634.92
1457,1384339.1
1458,1430192.37
1459,1311263.07
1460,1303914.27
1461,1231428.46
1462,1215676.31
1463,1170103.25
1464,1182490.46
1465,1293472.8
1466,1175003.67
1467,1169831.38
1468,1195036.0
1469,1332759.13
1470,1281675.6
1471,1292346.57
1472,1757242.51
1473,1380522.64
1474,1564516.43
1475,1843971.15
1476,2306265.36
1477,1172003.1
1478,1178905.44
1479,1194449.78
1480,1187776.19
1481,1100418.69
1482,1422546.05
1484,1554747.15
1485,1323999.36
1486,1399456.99
1488,1391813.69
1489,1229777.24
1490,1258674.12
1491,1327401.06
1492,1312905.8
1493,1388118.53
1494,1357589.89
1495,1331453.41
1496,1277959.42
1497,1239466.97
1498,1216876.52
1499,1343637.0
1501,1337506.74
1502,1254587.84
1503,1297472.06
1504,1334627.96
1505,1266546.73
1506,1290576.44
1507,1212938.67
1508,1403198.94
1510,1484169.74
1511,1304706.75
1512,1297792.41
1513,1249439.95
1514,1270816.01
1517,1346271.06
1521,1458287.38
1525,1399322.44
1526,1646655.94
1573,1100046.37
1574,1117863.33
1575,1095421.65
1576,1048617.17
1577,1077018.27
1578,985594.23
1579,972088.34
1580,981615.81
1581,1011822.3
1582,1041238.87
1583,957997.52
1584,993833.44
1585,954220.22
1586,1043240.27
1587,966054.97
1588,958374.56
1589,955451.16
1590,1049357.36
1591,1016039.71
1592,956211.2
1593,958007.69
1594,951957.31
1595,943506.28
1596,916402.76
1597,912403.67
1598,913548.25
1599,967576.95
1600,928264.4
1601,948447.34
1602,1004516.46
1603,1075758.55
1604,903119.03
1605,852882.61
1606,851919.34
1607,850936.26
1608,918335.68
1609,862419.84
1610,857883.46
1611,955294.7
1612,929690.71
1613,942475.24
1614,894493.7
1615,1601377.41
1616,1069533.17
1617,1121934.15
1618,1295605.35
1619,1768249.89
1620,891736.91
1621,910110.24
1622,812011.8
1623,802105.5
1624,873119.06
1625,1046068.17
1627,1128485.1
1628,1046203.72
1629,1085248.21
1631,1009502.01
1632,954107.32
1633,1005463.49
1634,998362.05
1635,990951.77
1636,1016019.47
1637,994966.1
1638,1021154.48
1639,977033.5
1640,924134.99
1641,964332.51
1642,970328.68
1644,986504.93
1645,997282.75
1646,961993.34
1647,943717.38
1648,936001.98
1649,922231.92
1650,890547.07
1651,988712.52
1653,966817.24
1654,1017593.47
1655,1052051.45
1656,922850.57
1657,889290.23
1660,951244.66
1664,1051944.79
1668,1071383.1
1669,1189646.45
1716,1967220.53
1717,2030933.46
1718,1970274.64
1719,1817850.32
1720,1939980.43
1721,1840686.94
1722,1879794.89
1723,1882095.98
1724,2142482.14
1725,1898321.33
1726,1819660.44
1727,1909330.77
1728,1785823.37
1729,2005478.46
1730,1890273.44
1731,1853657.6
1732,1877358.86
1733,2022705.22
1734,2037880.96
1735,2003435.31
1736,1970340.25
1737,2018314.71
1738,1870843.9
1739,1932231.05
1740,1907351.2
1741,1817887.23
1742,1969121.45
1743,1877592.55
1744,1997397.63
1745,1908278.27
1746,1911852.58
1747,1772143.94
1748,1790279.74
1749,1705655.09
1750,1765584.48
1751,1871924.07
1752,1851431.06
1753,1796949.59
1754,1887895.07
1755,1854967.66
1756,1939964.63
1757,1925393.91
1758,2766400.05
1759,2083379.89
1760,2461468.35
1761,2771646.81
1762,3595903.2
1763,1675292.0
1764,1744544.39
1765,1682316.31
1766,1770177.37
1767,1633663.12
1768,1848186.58
1770,2003480.59
1771,1831933.95
1772,1894960.68
1774,1852443.78
1775,1807545.43
1776,1864238.64
1777,1887465.04
1778,1950994.04
1779,2124316.34
1780,1895583.12
1781,1986380.4
1782,1958823.56
1783,1860923.55
1784,1866369.93
1785,1935593.87
1787,2086433.49
1788,2009163.08
1789,2048035.74
1790,2021699.38
1791,1956813.31
1792,1987089.36
1793,1880785.69
1794,2076231.8
1796,2090340.98
1797,2035244.54
1798,1953628.82
1799,1872921.31
1800,1923223.82
1803,2067232.56
1807,2036317.54
1811,2051315.66
1812,2462779.06
1859,2623469.95
1860,1704218.84
1861,2204556.7
1862,2095591.63
1863,2237544.75
1864,2156035.06
1865,2066219.3
1866,2050396.27
1867,2495630.51
1868,2258781.28
1869,2121788.61
1870,2138144.91
1871,2082355.12
1872,2370116.52
1873,2129771.13
1874,2108187.1
1875,2227152.16
1876,2363601.47
1877,2249570.04
1878,2248645.59
1879,2246179.91
1880,2334788.42
1881,2236209.13
1882,2130287.27
1883,2044155.39
1884,2054843.28
1885,2219813.5
1886,2052984.81
1887,2057138.31
1888,2020332.07
1889,2182563.66
1890,2191767.76
1891,1953539.85
1892,1879891.13
1893,1855703.66
1894,2091663.2
1895,1932162.63
1896,1936621.09
1897,1984768.34
1898,2078417.47
1899,2092189.06
1900,1968462.58
1901,2921709.71
1902,2258489.63
1903,2600519.26
1904,2762861.41
1905,3818686.45
1906,1623716.46
1907,1864746.1
1908,1699095.9
1909,1743188.87
1910,1613718.38
1911,1995891.87
1913,2019031.67
1914,1875708.88
1915,2041215.61
1917,1932491.42
1918,1879451.23
1919,1869110.55
1920,2037798.88
1921,1974960.86
1922,2256461.39
1923,1930617.64
1924,2095599.93
1925,2004330.3
1926,1959967.8
1927,2080694.24
1928,2079899.47
1930,2082083.34
1931,2069523.52
1932,2074668.19
1933,2063401.06
1934,1953544.76
1935,1882070.88
1936,1871021.01
1937,2066020.69
1939,1896873.99
1940,2273470.62
1941,1750891.47
1942,2202742.9
1943,1864637.89
1946,2078796.76
1950,2174056.71
1954,2143080.57
1955,2470581.29
2002,652122.44
2003,682447.1
2004,660838.75
2005,564883.2
2006,605325.43
2007,604173.59
2008,593710.67
2009,592111.49
2010,718470.71
2011,634605.77
2012,641208.65
2013,643097.6
2014,570791.11
2015,661348.88
2016,594385.2
2017,616598.1
2018,744772.88
2019,693192.5
2020,619337.29
2021,652329.53
2022,672194.03
2023,709337.11
2024,691497.62
2025,633203.69
2026,598553.43
2027,619224.06
2028,639651.24
2029,622437.08
2030,637090.44
2031,649791.15
2032,638647.21
2033,641965.2
2034,583210.87
2035,548542.47
2036,566945.95
2037,591603.79
2038,577011.26
2039,600395.73
2040,598301.5
2041,612987.64
2042,619639.74
2043,608200.81
2044,1120018.92
2045,754134.95
2046,847294.04
2047,983825.15
2048,1368318.17
2049,543754.17
2050,509640.77
2051,479424.2
2052,487311.03
2053,481119.6
2054,556550.85
2056,649993.5
2057,547564.09
2058,573374.49
2060,551553.99
2061,527389.28
2062,542556.05
2063,587370.81
2064,607691.36
2065,655318.26
2066,560764.41
2067,630522.67
2068,630482.91
2069,593941.9
2070,636193.24
2071,695396.19
2073,639928.85
2074,656594.95
2075,674669.16
2076,635118.48
2077,624114.56
2078,607475.44
2079,577511.02
2080,607961.21
2082,599488.98
2083,605413.17
2084,649159.68
2085,607593.51
2086,545052.34
2089,579068.88
2093,615121.78
2097,699028.66
2098,764565.55
2145,477409.3
2146,472044.28
2147,469868.7
2148,443242.17
2149,444181.85
2150,445393.74
2151,504307.35
2152,483177.2
2153,490503.69
2154,424083.99
2155,436312.41
2156,370230.94
2157,383550.93
2158,403217.22
2159,401770.9
2160,435300.51
2161,479430.0
2162,516295.81
2163,535587.31
2164,540149.85
2165,546554.96
2166,610641.42
2167,614253.33
2168,586583.69
2169,588344.18
2170,562633.67
2171,586936.45
2172,543757.97
2173,521516.96
2174,581010.52
2175,542087.89
2176,537518.57
2177,522049.52
2178,511330.32
2179,463977.54
2180,442894.2
2181,452169.28
2182,541216.92
2183,495022.51
2184,446905.02
2185,453632.76
2186,458634.68
2187,651837.77
2188,512260.59
2189,570103.64
2190,648652.01
2191,1004730.69
2192,575317.38
2193,573545.96
2194,470365.59
2195,462888.13
2196,448391.99
2197,479263.15
2199,491179.79
2200,475201.64
2201,484829.07
2203,497373.49
2204,465279.68
2205,459756.11
2206,439276.5
2207,427855.24
2208,368600.0
2209,378100.31
2210,423805.22
2211,410406.95
2212,435397.19
2213,444718.68
2214,531080.31
2216,581546.23
2217,569105.03
2218,608737.56
2219,634634.66
2220,586841.77
2221,581758.22
2222,582381.95
2223,592981.33
2225,554630.42
2226,557312.01
2227,580805.33
2228,574622.56
2229,539081.09
2232,482926.93
2236,511059.95
2240,530492.84
2241,574798.86
2288,789036.02
2289,841951.91
2290,800714.0
2291,749549.55
2292,783300.05
2293,763961.82
2294,752034.52
2295,793097.64
2296,848521.17
2297,770228.02
2298,757738.76
2299,977790.83
2300,807798.73
2301,843848.65
2302,813756.09
2303,826626.5
2304,872817.62
2305,876902.87
2306,845252.21
2307,877996.27
2308,893995.44
2309,958875.37
2310,836915.92
2311,876591.41
2312,893504.87
2313,833517.19
2314,795301.17
2315,759995.18
2316,783929.7
2317,802583.89
2318,834373.73
2319,1200888.28
2320,871264.25
2321,852876.29
2322,829207.27
2323,827738.06
2324,838297.32
2325,815093.76
2326,861941.25
2327,818434.49
2328,855459.96
2329,782252.57
2330,1005448.76
2331,926573.81
2332,962475.55
2333,1049372.38
2334,1309226.79
2335,635862.55
2336,1083071.14
2337,758510.36
2338,755804.37
2339,736335.69
2340,816603.05
2342,860962.91
2343,767256.53
2344,816138.33
2346,778436.81
2347,781267.76
2348,795859.23
2349,811855.72
2350,825283.43
2351,1060770.11
2352,806979.15
2353,882132.28
2354,870625.49
2355,844443.35
2356,892056.64
2357,895020.48
2359,894686.67
2360,920719.98
2361,940554.34
2362,915064.22
2363,902727.76
2364,899044.34
2365,861894.77
2366,866184.92
2368,797523.04
2369,837390.79
2370,847380.07
2371,1161900.18
2372,1051116.95
2375,918006.9
2379,927657.63
2383,945267.68
2384,976522.93
2431,1205307.5
2432,1187880.7
2433,1150663.42
2434,1068157.45
2435,1179738.5
2436,1138800.32
2437,1087507.47
2438,1092704.09
2439,1254107.84
2440,1174447.55
2441,1135577.62
2442,1132433.55
2443,1060446.16
2444,1222255.47
2445,1092616.49
2446,1101621.36
2447,1256282.79
2448,1271311.76
2449,1173521.82
2450,1183225.92
2451,1220983.17
2452,1257928.35
2453,1171391.41
2454,1115514.61
2455,1032908.23
2456,1078557.62
2457,1166117.85
2458,1084722.78
2459,1141860.67
2460,1214302.76
2461,1187359.77
2462,1011201.12
2463,997998.21
2464,950862.92
2465,948977.5
2466,1107432.71
2467,1029618.1
2468,1052120.43
2469,1038576.54
2470,1089530.94
2471,1081322.12
2472,1045722.37
2473,1653759.36
2474,1211026.13
2475,1416168.98
2476,1588430.71
2477,2027507.15
2478,887907.01
2479,933960.3
2480,777175.28
2481,891148.55
2482,849540.85
2483,1055841.24
2485,1095058.57
2486,1005983.31
2487,1063310.62
2489,945889.59
2490,944523.3
2491,938083.17
2492,1018541.3
2493,988157.72
2494,1105860.06
2495,974114.39
2496,1065427.37
2497,993172.98
2498,994610.43
2499,1065214.14
2500,1178039.0
2502,1045859.39
2503,1056478.65
2504,1087051.26
2505,1048802.62
2506,974916.13
2507,991262.46
2508,954148.64
2509,1002806.39
2511,932679.79
2512,1147906.46
2513,540922.94
2514,951549.61
2515,845715.37
2518,1019741.1
2522,1100625.06
2526,1188047.61
2527,1368471.23
2574,1507637.17
2575,1536549.95
2576,1515976.11
2577,1373270.06
2578,1495844.57
2579,1467889.2
2580,1332940.35
2581,1427023.45
2582,1642970.27
2583,1489613.32
2584,1460354.67
2585,1456793.33
2586,1405065.57
2587,1566219.77
2588,1437319.45
2589,1377716.17
2590,1648882.62
2591,1519013.49
2592,1410683.94
2593,1457314.39
2594,1450407.32
2595,1549018.68
2596,1577541.24
2597,1412157.02
2598,1372043.71
2599,1366395.96
2600,1492060.89
2601,1418027.08
2602,1419383.19
2603,1557888.16
2604,1623519.64
2605,1591453.39
2606,1386789.31
2607,1318343.58
2608,1379456.3
2609,1428960.72
2610,1369317.63
2611,1357154.71
2612,1404576.48
2613,1435379.25
2614,1490235.86
2615,1377593.1
2616,1993367.83
2617,1615987.96
2618,1799070.98
2619,1911967.44
2620,2678206.42
2621,1275146.94
2622,1224175.99
2623,1181204.53
2624,1212967.84
2625,1284185.49
2626,1370562.11
2628,1457270.16
2629,1296658.47
2630,1433569.44
2632,1257972.37
2633,1266564.94
2634,1305950.22
2635,1419911.91
2636,1392093.04
2637,1514288.82
2638,1297237.7
2639,1451953.95
2640,1429143.06
2641,1355234.3
2642,1388553.11
2643,1457345.75
2645,1418973.62
2646,1440785.7
2647,1462731.93
2648,1465489.75
2649,1391580.41
2650,1377119.45
2651,1298775.8
2652,1408968.55
2654,1391792.69
2655,1547729.24
2656,1609951.02
2657,1566712.79
2658,1365633.53
2661,1461718.87
2665,1480289.64
2669,1484708.38
2670,1713769.06
2717,2401395.47
2718,2109107.9
2719,2161549.76
2720,1898193.95
2721,2119213.72
2722,2010974.84
2723,1951848.43
2724,1894742.95
2725,2405395.22
2726,2007796.26
2727,1985784.59
2728,1878862.42
2729,1919053.21
2730,2137202.38
2731,2033211.62
2732,1893736.9
2733,2065984.95
2734,2203619.35
2735,2100489.79
2736,2091903.63
2737,1973135.87
2738,2143676.77
2739,2107285.85
2740,2031852.16
2741,1900535.9
2742,1955896.59
2743,1910177.38
2744,2071022.45
2745,1975374.56
2746,1946369.57
2747,2121561.41
2748,2014954.79
2749,1948359.78
2750,1789687.65
2751,1933719.21
2752,2060389.27
2753,1950676.39
2754,1893955.27
2755,1891816.0
2756,2184316.64
2757,2187765.28
2758,2105058.91
2759,2811634.04
2760,2416051.17
2761,2752122.08
2762,2819193.17
2763,3766687.43
2764,1799737.79
2765,1843030.95
2766,1884345.01
2767,1781805.66
2768,1761506.68
2769,2351143.07
2771,2258616.24
2772,1938608.52
2773,2143424.61
2775,1931668.64
2776,1824711.21
2777,1927993.09
2778,2027056.39
2779,2057406.33
2780,2313861.81
2781,1881788.19
2782,2090838.44
2783,2036748.53
2784,1953416.06
2785,1944433.17
2786,2182246.69
2788,2065191.27
2789,1950826.32
2790,2053165.41
2791,2123787.79
2792,2039875.75
2793,1950904.84
2794,1858440.92
2795,2189353.63
2797,1990017.93
2798,1933577.2
2799,2141765.98
2800,2050542.56
2801,1979009.46
2804,2135982.79
2808,2284106.6
2812,2298776.83
2813,2546123.78
2860,798593.88
